stage,problem,xa1,pa1,xa2,pa2,xa3,pa3,na,eva,xb1,pb1,xb2,pb2,xb3,pb3,nb,evb,mechanism
1,1,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,2,0,0.8,105,0.2,0,0,2,21,0,0.88,175,0.12,0,0,2,21,Triangle
1,3,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,4,105,1,0,0,0,0,1,105,0,0.08,105,0.8,175,0.12,3,105,Triangle
1,5,0,0.2,105,0.8,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,6,105,0.2,175,0.8,0,0,2,161,0,0.08,175,0.92,0,0,2,161,Triangle
1,7,105,1,0,0,0,0,1,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,8,0,0.08,105,0.8,175,0.12,3,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,9,0,0.08,105,0.8,175,0.12,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,10,0,0.2,105,0.5,175,0.3,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,11,0,0.52,175,0.48,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,12,0,0.08,105,0.8,175,0.12,3,105,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,13,0,0.28,105,0.6,175,0.12,3,84,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,14,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,15,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,16,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,17,15,0.8,100,0.2,0,0,2,32,15,0.9,185,0.1,0,0,2,32,Triangle
1,18,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,19,100,1,0,0,0,0,1,100,15,0.1,100,0.8,185,0.1,3,100,Triangle
1,20,15,0.2,100,0.8,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,21,100,0.2,185,0.8,0,0,2,168,15,0.1,185,0.9,0,0,2,168,Triangle
1,22,100,1,0,0,0,0,1,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,23,15,0.1,100,0.8,185,0.1,3,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,24,15,0.1,100,0.8,185,0.1,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,25,15,0.2,100,0.6,185,0.2,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,26,15,0.6,185,0.4,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,27,15,0.1,100,0.8,185,0.1,3,100,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,28,15,0.3,100,0.6,185,0.1,3,83,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,29,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,30,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,31,95,0.2,140,0.8,0,0,2,131,115,0.1,150,0.9,0,0,2,146,Random
1,32,65,1,0,0,0,0,1,65,60,1,0,0,0,0,1,60,Random
1,33,40,0.8,225,0.2,0,0,2,77,85,1,0,0,0,0,1,85,Random
1,34,125,0.15,140,0.35,150,0.5,3,143,95,0.25,120,0.4,190,0.35,3,138,Random
1,35,180,1,0,0,0,0,1,180,185,1,0,0,0,0,1,185,Random
1,36,70,1,0,0,0,0,1,70,50,1,0,0,0,0,1,50,Random
1,37,120,0.7,255,0.3,0,0,2,161,165,1,0,0,0,0,1,165,Random
1,38,120,0.4,230,0.45,250,0.15,3,189,80,0.25,220,0.65,350,0.1,3,198,Random
1,39,175,0.45,220,0.55,0,0,2,200,115,0.35,245,0.65,0,0,2,199,Random
1,40,90,1,0,0,0,0,1,90,95,0.9,130,0.1,0,0,2,98,Random
1,41,0,0.1,140,0.9,0,0,2,126,85,0.5,150,0.35,210,0.15,3,127,Random
1,42,70,0.05,120,0.7,175,0.25,3,131,120,0.75,125,0.25,0,0,2,121,Random
1,43,45,0.5,190,0.5,0,0,2,118,115,1,0,0,0,0,1,115,Random
1,44,125,1,0,0,0,0,1,125,105,0.15,140,0.85,0,0,2,135,Random
1,45,110,0.35,170,0.65,0,0,2,149,120,0.65,170,0.25,215,0.1,3,142,Random
1,46,90,1,0,0,0,0,1,90,55,0.5,155,0.5,0,0,2,105,Random
1,47,65,1,0,0,0,0,1,65,70,0.65,105,0.35,0,0,2,82,Random
1,48,115,1,0,0,0,0,1,115,45,0.5,200,0.5,0,0,2,123,Random
1,49,145,1,0,0,0,0,1,145,0,0.05,170,0.95,0,0,2,161,Random
1,50,105,0.8,125,0.2,0,0,2,109,115,1,0,0,0,0,1,115,Random
1,51,130,1,0,0,0,0,1,130,130,0.75,195,0.25,0,0,2,146,Random
1,52,45,0.05,55,0.6,240,0.35,3,119,90,1,0,0,0,0,1,90,Random
1,53,90,0.7,230,0.3,0,0,2,132,30,0.3,60,0.35,290,0.35,3,131,Random
1,54,175,0.3,180,0.7,0,0,2,178,145,0.4,195,0.05,210,0.55,3,183,Random
1,55,135,0.65,165,0.15,235,0.2,3,159,195,1,0,0,0,0,1,195,Random
1,56,70,1,0,0,0,0,1,70,55,1,0,0,0,0,1,55,Random
1,57,100,0.95,155,0.05,0,0,2,103,130,1,0,0,0,0,1,130,Random
1,58,165,1,0,0,0,0,1,165,175,1,0,0,0,0,1,175,Random
1,59,140,0.9,225,0.1,0,0,2,148,20,0.4,215,0.6,0,0,2,137,Random
1,60,0,0.4,205,0.55,415,0.05,3,134,130,1,0,0,0,0,1,130,Random
2,1,100,1,0,0,0,0,1,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,2,25,0.8,100,0.2,0,0,2,40,25,0.9,175,0.1,0,0,2,40,Triangle
2,3,25,0.2,100,0.8,0,0,2,85,25,0.6,175,0.4,0,0,2,85,Triangle
2,4,100,1,0,0,0,0,1,100,25,0.1,100,0.8,175,0.1,3,100,Triangle
2,5,25,0.2,100,0.8,0,0,2,85,25,0.3,100,0.6,175,0.1,3,85,Triangle
2,6,100,0.2,175,0.8,0,0,2,160,25,0.1,175,0.9,0,0,2,160,Triangle
2,7,100,1,0,0,0,0,1,100,25,0.2,100,0.6,175,0.2,3,100,Triangle
2,8,25,0.1,100,0.8,175,0.1,3,100,25,0.2,100,0.6,175,0.2,3,100,Triangle
2,9,25,0.1,100,0.8,175,0.1,3,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,10,25,0.2,100,0.6,175,0.2,3,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,11,25,0.6,175,0.4,0,0,2,85,25,0.3,100,0.6,175,0.1,3,85,Triangle
2,12,25,0.1,100,0.8,175,0.1,3,100,25,0.3,100,0.6,175,0.1,3,85,Triangle
2,13,25,0.3,100,0.6,175,0.1,3,85,25,0.2,100,0.6,175,0.2,3,100,Triangle
2,14,100,1,0,0,0,0,1,100,25,0.5,175,0.5,0,0,2,100,Triangle
2,15,25,0.2,100,0.8,0,0,2,85,25,0.6,175,0.4,0,0,2,85,Triangle
2,16,90,1,0,0,0,0,1,90,0,0.55,200,0.45,0,0,2,90,Triangle
2,17,0,0.8,90,0.2,0,0,2,18,0,0.91,200,0.09,0,0,2,18,Triangle
2,18,0,0.2,90,0.8,0,0,2,72,0,0.64,200,0.36,0,0,2,72,Triangle
2,19,90,1,0,0,0,0,1,90,0,0.11,90,0.8,200,0.09,3,90,Triangle
2,20,0,0.2,90,0.8,0,0,2,72,0,0.31,90,0.6,200,0.09,3,72,Triangle
2,21,90,0.2,200,0.8,0,0,2,178,0,0.11,200,0.89,0,0,2,178,Triangle
2,22,90,1,0,0,0,0,1,90,0,0.2,90,0.64,200,0.16,3,89.6,Triangle
2,23,0,0.11,90,0.8,200,0.09,3,90,0,0.2,90,0.64,200,0.16,3,89.6,Triangle
2,24,0,0.11,90,0.8,200,0.09,3,90,0,0.55,200,0.45,0,0,2,90,Triangle
2,25,0,0.2,90,0.64,200,0.16,3,89.6,0,0.55,200,0.45,0,0,2,90,Triangle
2,26,0,0.64,200,0.36,0,0,2,72,0,0.31,90,0.6,200,0.09,3,72,Triangle
2,27,0,0.11,90,0.8,200,0.09,3,90,0,0.31,90,0.6,200,0.09,3,72,Triangle
2,28,0,0.31,90,0.6,200,0.09,3,72,0,0.2,90,0.64,200,0.16,3,89.6,Triangle
2,29,90,1,0,0,0,0,1,90,0,0.55,200,0.45,0,0,2,90,Triangle
2,30,0,0.2,90,0.8,0,0,2,72,0,0.64,200,0.36,0,0,2,72,Triangle
2,31,95,1,0,0,0,0,1,95,65,0.5,80,0.2,110,0.3,3,82,Random
2,32,130,1,0,0,0,0,1,130,135,0.8,150,0.2,0,0,2,138,Random
2,33,145,0.65,195,0.1,305,0.25,3,190,190,1,0,0,0,0,1,190,Random
2,34,100,0.05,190,0.95,0,0,2,185,80,0.05,115,0.25,240,0.7,3,201,Random
2,35,50,0.4,60,0.35,90,0.25,3,63,25,0.6,35,0.2,215,0.2,3,65,Random
2,36,80,0.5,105,0.5,0,0,2,93,105,0.5,115,0.5,0,0,2,110,Random
2,37,55,1,0,0,0,0,1,55,50,1,0,0,0,0,1,50,Random
2,38,40,0.45,90,0.25,300,0.3,3,131,130,1,0,0,0,0,1,130,Random
2,39,75,0.7,170,0.1,435,0.2,3,157,45,0.55,315,0.45,0,0,2,166,Random
2,40,130,0.3,145,0.7,0,0,2,140,135,1,0,0,0,0,1,135,Random
2,41,65,0.55,100,0.05,270,0.4,3,149,115,0.45,150,0.55,0,0,2,134,Random
2,42,65,0.3,120,0.7,0,0,2,103,110,1,0,0,0,0,1,110,Random
2,43,0,0.05,70,0.5,105,0.45,3,82,55,0.75,120,0.2,125,0.05,3,72,Random
2,44,50,1,0,0,0,0,1,50,40,0.95,90,0.05,0,0,2,42,Random
2,45,195,1,0,0,0,0,1,195,125,0.35,235,0.2,240,0.45,3,199,Random
2,46,145,0.55,250,0.45,0,0,2,192,185,0.4,195,0.6,0,0,2,191,Random
2,47,200,1,0,0,0,0,1,200,175,1,0,0,0,0,1,175,Random
2,48,45,0.25,115,0.4,190,0.35,3,124,110,0.8,180,0.05,195,0.15,3,126,Random
2,49,120,0.35,170,0.4,220,0.25,3,165,100,0.35,210,0.05,215,0.6,3,175,Random
2,50,80,0.85,210,0.15,0,0,2,100,65,0.1,90,0.9,0,0,2,87,Random
2,51,90,1,0,0,0,0,1,90,45,0.8,195,0.05,290,0.15,3,89,Random
2,52,20,0.45,30,0.5,55,0.05,3,27,20,1,0,0,0,0,1,20,Random
2,53,65,0.6,110,0.35,715,0.05,3,113,45,0.1,120,0.9,0,0,2,112,Random
2,54,100,0.05,120,0.75,505,0.2,3,196,110,0.1,220,0.9,0,0,2,209,Random
2,55,5,0.25,220,0.75,0,0,2,166,120,0.15,180,0.85,0,0,2,171,Random
2,56,75,0.05,85,0.95,0,0,2,84,85,1,0,0,0,0,1,85,Random
2,57,130,1,0,0,0,0,1,130,135,0.65,150,0.35,0,0,2,140,Random
2,58,175,1,0,0,0,0,1,175,185,1,0,0,0,0,1,185,Random
2,59,150,0.85,160,0.15,0,0,2,152,125,1,0,0,0,0,1,125,Random
2,60,45,0.25,85,0.15,115,0.6,3,93,70,1,0,0,0,0,1,70,Random
3,1,90,1,0,0,0,0,1,90,30,0.6,180,0.4,0,0,2,90,Triangle
3,2,30,0.8,90,0.2,0,0,2,42,30,0.92,180,0.08,0,0,2,42,Triangle
3,3,30,0.2,90,0.8,0,0,2,78,30,0.68,180,0.32,0,0,2,78,Triangle
3,4,90,1,0,0,0,0,1,90,30,0.12,90,0.8,180,0.08,3,90,Triangle
3,5,30,0.2,90,0.8,0,0,2,78,30,0.32,90,0.6,180,0.08,3,78,Triangle
3,6,90,0.2,180,0.8,0,0,2,162,30,0.12,180,0.88,0,0,2,162,Triangle
3,7,90,1,0,0,0,0,1,90,30,0.2,90,0.67,180,0.13,3,89.7,Triangle
3,8,30,0.12,90,0.8,180,0.08,3,90,30,0.2,90,0.67,180,0.13,3,89.7,Triangle
3,9,30,0.12,90,0.8,180,0.08,3,90,30,0.6,180,0.4,0,0,2,90,Triangle
3,10,30,0.2,90,0.67,180,0.13,3,89.7,30,0.6,180,0.4,0,0,2,90,Triangle
3,11,30,0.68,180,0.32,0,0,2,78,30,0.32,90,0.6,180,0.08,3,78,Triangle
3,12,30,0.12,90,0.8,180,0.08,3,90,30,0.32,90,0.6,180,0.08,3,78,Triangle
3,13,30,0.32,90,0.6,180,0.08,3,78,30,0.2,90,0.67,180,0.13,3,89.7,Triangle
3,14,90,1,0,0,0,0,1,90,30,0.6,180,0.4,0,0,2,90,Triangle
3,15,30,0.2,90,0.8,0,0,2,78,30,0.68,180,0.32,0,0,2,78,Triangle
3,16,75,1,0,0,0,0,1,75,5,0.65,205,0.35,0,0,2,75,Triangle
3,17,5,0.8,75,0.2,0,0,2,19,5,0.93,205,0.07,0,0,2,19,Triangle
3,18,5,0.2,75,0.8,0,0,2,61,5,0.72,205,0.28,0,0,2,61,Triangle
3,19,75,1,0,0,0,0,1,75,5,0.13,75,0.8,205,0.07,3,75,Triangle
3,20,5,0.2,75,0.8,0,0,2,61,5,0.33,75,0.6,205,0.07,3,61,Triangle
3,21,75,0.2,205,0.8,0,0,2,179,5,0.13,205,0.87,0,0,2,179,Triangle
3,22,75,1,0,0,0,0,1,75,5,0.2,75,0.69,205,0.11,3,75.3,Triangle
3,23,5,0.13,75,0.8,205,0.07,3,75,5,0.2,75,0.69,205,0.11,3,75.3,Triangle
3,24,5,0.13,75,0.8,205,0.07,3,75,5,0.65,205,0.35,0,0,2,75,Triangle
3,25,5,0.2,75,0.69,205,0.11,3,75.3,5,0.65,205,0.35,0,0,2,75,Triangle
3,26,5,0.72,205,0.28,0,0,2,61,5,0.33,75,0.6,205,0.07,3,61,Triangle
3,27,5,0.13,75,0.8,205,0.07,3,75,5,0.33,75,0.6,205,0.07,3,61,Triangle
3,28,5,0.33,75,0.6,205,0.07,3,61,5,0.2,75,0.69,205,0.11,3,75.3,Triangle
3,29,75,1,0,0,0,0,1,75,5,0.65,205,0.35,0,0,2,75,Triangle
3,30,5,0.2,75,0.8,0,0,2,61,5,0.72,205,0.28,0,0,2,61,Triangle
3,31,120,0.05,135,0.5,190,0.45,3,159,170,1,0,0,0,0,1,170,Random
3,32,105,0.35,120,0.3,145,0.35,3,123,125,1,0,0,0,0,1,125,Random
3,33,120,0.15,195,0.85,0,0,2,184,115,0.65,320,0.35,0,0,2,187,Random
3,34,20,0.7,65,0.15,195,0.15,3,53,65,1,0,0,0,0,1,65,Random
3,35,10,0.8,15,0.2,0,0,2,11,40,1,0,0,0,0,1,40,Random
3,36,65,0.4,70,0.6,0,0,2,68,80,1,0,0,0,0,1,80,Random
3,37,70,1,0,0,0,0,1,70,0,0.3,90,0.7,0,0,2,63,Random
3,38,65,0.3,175,0.7,0,0,2,142,125,0.45,160,0.55,0,0,2,144,Random
3,39,35,1,0,0,0,0,1,35,45,0.55,65,0.45,0,0,2,54,Random
3,40,115,0.45,240,0.05,260,0.5,3,194,200,1,0,0,0,0,1,200,Random
3,41,110,1,0,0,0,0,1,110,115,1,0,0,0,0,1,115,Random
3,42,190,1,0,0,0,0,1,190,185,1,0,0,0,0,1,185,Random
3,43,125,0.35,160,0.4,365,0.25,3,199,210,0.8,275,0.2,0,0,2,223,Random
3,44,80,0.75,290,0.25,0,0,2,133,20,0.3,120,0.05,205,0.65,3,145,Random
3,45,105,0.55,135,0.15,230,0.3,3,147,135,1,0,0,0,0,1,135,Random
3,46,85,1,0,0,0,0,1,85,110,1,0,0,0,0,1,110,Random
3,47,5,0.7,85,0.3,0,0,2,29,30,0.9,115,0.1,0,0,2,38,Random
3,48,75,0.6,160,0.05,280,0.35,3,151,140,1,0,0,0,0,1,140,Random
3,49,80,1,0,0,0,0,1,80,70,0.95,150,0.05,0,0,2,74,Random
3,50,55,0.35,150,0.5,250,0.15,3,132,65,0.65,220,0.35,0,0,2,119,Random
3,51,85,0.2,115,0.15,160,0.65,3,138,65,0.2,165,0.4,170,0.4,3,147,Random
3,52,95,1,0,0,0,0,1,95,10,0.55,185,0.45,0,0,2,89,Random
3,53,55,0.35,85,0.3,165,0.35,3,102,55,0.4,125,0.6,0,0,2,97,Random
3,54,155,0.8,265,0.2,0,0,2,177,175,1,0,0,0,0,1,175,Random
3,55,10,0.25,210,0.2,225,0.55,3,168,155,1,0,0,0,0,1,155,Random
3,56,50,0.25,95,0.3,120,0.45,3,95,65,0.9,325,0.1,0,0,2,91,Random
3,57,50,0.65,95,0.05,495,0.3,3,186,95,0.9,735,0.1,0,0,2,159,Random
3,58,110,1,0,0,0,0,1,110,105,0.8,210,0.05,270,0.15,3,135,Random
3,59,45,0.85,995,0.15,0,0,2,188,50,0.45,245,0.35,440,0.2,3,196,Random
3,60,195,1,0,0,0,0,1,195,180,0.4,230,0.6,0,0,2,210,Random